Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
C0382,P0036,Sports,140.11,2023-01-30
C0075,P0037,Sports,467.92,2023-01-30
C0146,P0038,Books,729.12,2023-01-30
C0442,P0039,Books,968.85,2023-01-30
C0107,P0040,Fashion,823.07,2023-01-30
C0486,P0041,Home,200.09,2023-01-30
C0015,P0042,Books,61.36,2023-01-30
C0257,P0043,Books,420.81,2023-01-30
C0052,P0044,Home,407.97,2023-01-30
C0137,P0045,Fashion,590.4,2023-01-30
C0358,P0046,Books,976.16,2023-01-30
C0364,P0047,Books,650.7,2023-01-30
C0161,P0048,Toys,736.1,2023-01-30
C0160,P0049,Electronics,540.53,2023-01-30
C0421,P0050,Toys,814.56,2023-01-30
C0175,P0001,Fashion,948.16,2023-01-31
C0331,P0002,Electronics,40.34,2023-01-31
C0288,P0003,Electronics,274.99,2023-01-31
C0390,P0004,Toys,378.36,2023-01-31
C0203,P0005,Electronics,980.52,2023-01-31
C0466,P0006,Electronics,383.56,2023-01-31
C0082,P0007,Electronics,475.54,2023-01-31
C0085,P0008,Sports,797.04,2023-01-31
C0410,P0009,Toys,81.9,2023-01-31
C0318,P0010,Toys,132.13,2023-01-31
C0095,P0011,Books,377.02,2023-01-31
C0119,P0012,Fashion,278.01,2023-01-31
C0372,P0013,Fashion,660.93,2023-01-31
C0257,P0014,Home,258.85,2023-01-31
C0085,P0015,Home,208.92,2023-01-31
C0033,P0016,Books,959.15,2023-02-01
C0228,P0017,Home,714.48,2023-02-01
C0426,P0018,Home,518.54,2023-02-01
C0084,P0019,Sports,282.24,2023-02-01
C0058,P0020,Fashion,374.14,2023-02-01
C0457,P0021,Books,330.06,2023-02-01
C0432,P0022,Toys,454.82,2023-02-01
C0153,P0023,Books,612.4,2023-02-01
C0397,P0024,Sports,149.54,2023-02-01
C0365,P0025,Toys,428.3,2023-02-01
C0453,P0026,Electronics,868.78,2023-02-01
C0455,P0027,Books,82.29,2023-02-01
C0183,P0028,Books,68.41,2023-02-01
C0394,P0029,Fashion,414.94,2023-02-01
C0485,P0030,Home,246.04,2023-02-01
C0372,P0031,Electronics,261.94,2023-02-02
C0363,P0032,Toys,476.64,2023-02-02
C0366,P0033,Electronics,493.17,2023-02-02
C0444,P0034,Electronics,948.08,2023-02-02
C0032,P0035,Electronics,132.49,2023-02-02
C0067,P0036,Home,893.54,2023-02-02
C0220,P0037,Books,738.52,2023-02-02
C0246,P0038,Books,993.37,2023-02-02
C0242,P0039,Toys,248.46,2023-02-02
C0044,P0040,Books,585.81,2023-02-02
C0390,P0041,Home,646.87,2023-02-02
C0282,P0042,Sports,276.47,2023-02-02
C0081,P0043,Toys,593.08,2023-02-02
C0375,P0044,Home,318.21,2023-02-02
C0418,P0045,Toys,687.2,2023-02-02
C0081,P0046,Fashion,89.94,2023-02-03
C0462,P0047,Sports,402.22,2023-02-03
C0059,P0048,Home,456.2,2023-02-03
C0496,P0049,Home,28.31,2023-02-03
C0296,P0050,Fashion,312.9,2023-02-03
C0247,P0001,Books,441.13,2023-02-03
C0411,P0002,Home,734.32,2023-02-03
C0485,P0003,Home,266.82,2023-02-03
C0024,P0004,Books,353.71,2023-02-03
C0284,P0005,Electronics,726.76,2023-02-03
C0407,P0006,Sports,140.16,2023-02-03
C0136,P0007,Toys,676.26,2023-02-03
C0040,P0008,Toys,737.81,2023-02-03
C0193,P0009,Toys,648.44,2023-02-03
C0076,P0010,Home,715.62,2023-02-03
C0089,P0011,Books,401.92,2023-02-04
C0365,P0012,Electronics,573.19,2023-02-04
C0138,P0013,Books,153.26,2023-02-04
C0008,P0014,Sports,918.35,2023-02-04
C0164,P0015,Toys,963.19,2023-02-04
C0429,P0016,Books,818.65,2023-02-04
C0376,P0017,Toys,289.35,2023-02-04
C0383,P0018,Home,534.96,2023-02-04
C0334,P0019,Fashion,244.74,2023-02-04
C0298,P0020,Toys,824.51,2023-02-04
C0361,P0021,Electronics,488.46,2023-02-04
C0205,P0022,Books,847.94,2023-02-04
C0074,P0023,Fashion,709.88,2023-02-04
C0061,P0024,Books,168.42,2023-02-04
C0015,P0025,Electronics,173.91,2023-02-04
C0418,P0026,Fashion,255.28,2023-02-05
C0130,P0027,Fashion,394.9,2023-02-05
C0013,P0028,Home,609.1,2023-02-05
C0382,P0029,Electronics,290.13,2023-02-05
C0435,P0030,Books,167.2,2023-02-05
C0368,P0031,Sports,342.68,2023-02-05
C0197,P0032,Books,604.88,2023-02-05
C0100,P0033,Electronics,276.95,2023-02-05
C0420,P0034,Electronics,836.5,2023-02-05
C0053,P0035,Home,438.18,2023-02-05
C0153,P0036,Toys,871.02,2023-02-05
C0013,P0037,Toys,478.94,2023-02-05
C0210,P0038,Sports,643.19,2023-02-05
C0224,P0039,Books,138.68,2023-02-05
C0314,P0040,Home,60.51,2023-02-05
C0240,P0041,Fashion,815.57,2023-02-06
C0494,P0042,Fashion,684.93,2023-02-06
C0310,P0043,Books,12.04,2023-02-06
C0184,P0044,Home,964.6,2023-02-06
C0278,P0045,Toys,543.99,2023-02-06
C0363,P0046,Electronics,911.06,2023-02-06
C0491,P0047,Toys,795.5,2023-02-06
C0233,P0048,Fashion,354.13,2023-02-06
C0423,P0049,Fashion,723.55,2023-02-06
C0185,P0050,Books,266.95,2023-02-06
C0143,P0001,Fashion,388.96,2023-02-06
C0216,P0002,Books,37.67,2023-02-06
C0493,P0003,Books,783.05,2023-02-06
C0230,P0004,Home,262.64,2023-02-06
C0075,P0005,Fashion,941.61,2023-02-06
C0023,P0006,Toys,915.95,2023-02-07
C0103,P0007,Toys,297.95,2023-02-07
C0257,P0008,Electronics,684.97,2023-02-07
C0333,P0009,Electronics,933.21,2023-02-07
C0415,P0010,Sports,918.52,2023-02-07
C0090,P0011,Sports,783.57,2023-02-07
C0159,P0012,Home,887.62,2023-02-07
C0344,P0013,Books,143.47,2023-02-07
C0144,P0014,Books,308.79,2023-02-07
C0407,P0015,Toys,552.03,2023-02-07
C0439,P0016,Toys,479.24,2023-02-07
C0347,P0017,Home,932.09,2023-02-07
C0010,P0018,Electronics,726.52,2023-02-07
C0046,P0019,Home,408.42,2023-02-07
C0382,P0020,Home,797.74,2023-02-07
C0358,P0021,Electronics,202.33,2023-02-08
C0220,P0022,Home,478.43,2023-02-08
C0301,P0023,Books,284.87,2023-02-08
C0230,P0024,Books,67.21,2023-02-08
C0337,P0025,Home,836.38,2023-02-08
C0084,P0026,Sports,808.66,2023-02-08
C0341,P0027,Fashion,918.74,2023-02-08
C0404,P0028,Fashion,174.97,2023-02-08
C0133,P0029,Books,778.99,2023-02-08
C0446,P0030,Books,953.76,2023-02-08
C0015,P0031,Fashion,446.24,2023-02-08
C0417,P0032,Sports,965.97,2023-02-08
C0471,P0033,Toys,230.96,2023-02-08
C0379,P0034,Books,245.31,2023-02-08
C0088,P0035,Sports,596.66,2023-02-08
C0190,P0036,Sports,705.3,2023-02-09
C0328,P0037,Fashion,552.93,2023-02-09
C0181,P0038,Sports,134.74,2023-02-09
C0223,P0039,Fashion,20.7,2023-02-09
C0459,P0040,Sports,903.04,2023-02-09
C0157,P0041,Home,843.24,2023-02-09
C0338,P0042,Electronics,728.07,2023-02-09
C0486,P0043,Fashion,528.76,2023-02-09
C0346,P0044,Sports,188.96,2023-02-09
C0386,P0045,Toys,61.06,2023-02-09
C0496,P0046,Electronics,699.12,2023-02-09
C0007,P0047,Home,995.94,2023-02-09
C0448,P0048,Fashion,969.09,2023-02-09
C0145,P0049,Fashion,393.44,2023-02-09
C0215,P0050,Fashion,213.42,2023-02-09
C0351,P0001,Home,455.24,2023-02-10
C0489,P0002,Home,278.83,2023-02-10
C0248,P0003,Toys,294.3,2023-02-10
C0124,P0004,Books,586.25,2023-02-10
C0345,P0005,Books,90.13,2023-02-10
C0114,P0006,Fashion,13.57,2023-02-10
C0337,P0007,Fashion,997.54,2023-02-10
C0184,P0008,Fashion,922.2,2023-02-10
C0276,P0009,Fashion,941.44,2023-02-10
C0397,P0010,Fashion,655.66,2023-02-10
C0071,P0011,Sports,742.18,2023-02-10
C0107,P0012,Home,536.83,2023-02-10
C0120,P0013,Fashion,921.4,2023-02-10
C0424,P0014,Fashion,338.65,2023-02-10
C0500,P0015,Sports,444.43,2023-02-10
C0231,P0016,Fashion,884.29,2023-02-11
C0264,P0017,Electronics,796.67,2023-02-11
C0022,P0018,Toys,533.68,2023-02-11
C0302,P0019,Electronics,806.09,2023-02-11
C0072,P0020,Books,436.72,2023-02-11
C0016,P0021,Sports,724.26,2023-02-11
C0206,P0022,Toys,178.01,2023-02-11
C0074,P0023,Fashion,287.45,2023-02-11
C0323,P0024,Books,538.47,2023-02-11
C0484,P0025,Home,465.45,2023-02-11
C0047,P0026,Sports,917.06,2023-02-11
C0215,P0027,Electronics,507.93,2023-02-11
C0309,P0028,Home,337.12,2023-02-11
C0181,P0029,Home,181.09,2023-02-11
C0283,P0030,Toys,480.01,2023-02-11
C0159,P0031,Electronics,488.51,2023-02-12
C0020,P0032,Fashion,996.72,2023-02-12
C0347,P0033,Fashion,534.58,2023-02-12
C0092,P0034,Books,670.53,2023-02-12
C0422,P0035,Home,670.52,2023-02-12
C0230,P0036,Fashion,335.44,2023-02-12
C0030,P0037,Electronics,834.76,2023-02-12
C0131,P0038,Books,10.38,2023-02-12
C0381,P0039,Fashion,931.11,2023-02-12
C0027,P0040,Toys,562.05,2023-02-12
C0327,P0041,Electronics,336.15,2023-02-12
C0364,P0042,Books,76.41,2023-02-12
C0325,P0043,Books,92.04,2023-02-12
C0497,P0044,Toys,740.04,2023-02-12
C0371,P0045,Books,45.52,2023-02-12
C0036,P0046,Electronics,638.0,2023-02-13
C0172,P0047,Toys,708.47,2023-02-13
C0183,P0048,Home,347.63,2023-02-13
C0136,P0049,Books,720.21,2023-02-13
C0183,P0050,Electronics,160.78,2023-02-13
C0030,P0001,Toys,760.54,2023-02-13
C0254,P0002,Fashion,72.76,2023-02-13
C0268,P0003,Books,94.18,2023-02-13
C0409,P0004,Electronics,841.93,2023-02-13
C0122,P0005,Fashion,112.17,2023-02-13
C0255,P0006,Fashion,260.88,2023-02-13
C0258,P0007,Fashion,798.24,2023-02-13
C0338,P0008,Toys,169.37,2023-02-13
C0100,P0009,Books,446.38,2023-02-13
C0437,P0010,Electronics,868.76,2023-02-13
C0327,P0011,Home,974.49,2023-02-14
C0297,P0012,Fashion,38.44,2023-02-14
C0061,P0013,Books,100.48,2023-02-14
C0240,P0014,Fashion,826.15,2023-02-14
C0154,P0015,Sports,658.97,2023-02-14
C0155,P0016,Sports,537.27,2023-02-14
C0170,P0017,Fashion,404.78,2023-02-14
C0488,P0018,Toys,733.16,2023-02-14
C0311,P0019,Fashion,236.83,2023-02-14
C0369,P0020,Toys,11.94,2023-02-14
C0187,P0021,Toys,603.56,2023-02-14
C0427,P0022,Books,556.26,2023-02-14
C0234,P0023,Fashion,715.37,2023-02-14
C0489,P0024,Electronics,602.43,2023-02-14
C0284,P0025,Toys,393.62,2023-02-14
C0422,P0026,Home,829.37,2023-02-15
C0173,P0027,Electronics,949.08,2023-02-15
C0150,P0028,Toys,93.85,2023-02-15
C0382,P0029,Home,658.78,2023-02-15
C0340,P0030,Toys,407.44,2023-02-15
C0210,P0031,Books,191.38,2023-02-15
C0360,P0032,Toys,34.51,2023-02-15
C0053,P0033,Home,520.6,2023-02-15
C0429,P0034,Books,780.87,2023-02-15
C0455,P0035,Electronics,425.84,2023-02-15
C0018,P0036,Sports,647.21,2023-02-15
C0178,P0037,Home,519.67,2023-02-15
C0348,P0038,Electronics,114.93,2023-02-15
C0455,P0039,Sports,741.17,2023-02-15
C0067,P0040,Sports,332.29,2023-02-15
C0392,P0041,Books,598.47,2023-02-16
C0005,P0042,Sports,62.31,2023-02-16
C0360,P0043,Toys,833.87,2023-02-16
C0082,P0044,Toys,70.35,2023-02-16
C0128,P0045,Fashion,817.99,2023-02-16
C0431,P0046,Home,605.43,2023-02-16
C0420,P0047,Electronics,261.02,2023-02-16
C0136,P0048,Books,604.3,2023-02-16
C0169,P0049,Electronics,869.64,2023-02-16
C0374,P0050,Toys,73.43,2023-02-16
C0031,P0001,Home,351.22,2023-02-16
C0246,P0002,Sports,349.26,2023-02-16
C0168,P0003,Books,414.31,2023-02-16
C0182,P0004,Home,773.01,2023-02-16
C0222,P0005,Sports,652.78,2023-02-16
C0077,P0006,Books,338.78,2023-02-17
C0354,P0007,Fashion,699.11,2023-02-17
C0141,P0008,Sports,936.16,2023-02-17
C0391,P0009,Electronics,461.86,2023-02-17
C0149,P0010,Electronics,229.85,2023-02-17
C0285,P0011,Toys,732.1,2023-02-17
C0339,P0012,Home,374.81,2023-02-17
C0036,P0013,Books,874.71,2023-02-17
C0322,P0014,Toys,720.81,2023-02-17
C0376,P0015,Sports,746.52,2023-02-17
C0076,P0016,Books,595.6,2023-02-17
C0002,P0017,Electronics,917.21,2023-02-17
C0407,P0018,Sports,320.41,2023-02-17
C0207,P0019,Books,828.87,2023-02-17
C0242,P0020,Electronics,872.29,2023-02-17
C0258,P0021,Sports,265.43,2023-02-18
C0130,P0022,Electronics,620.24,2023-02-18
C0065,P0023,Sports,757.02,2023-02-18
C0478,P0024,Fashion,667.01,2023-02-18
C0391,P0025,Fashion,38.66,2023-02-18
C0429,P0026,Books,370.85,2023-02-18
C0024,P0027,Sports,251.41,2023-02-18
C0355,P0028,Fashion,448.91,2023-02-18
C0105,P0029,Electronics,53.48,2023-02-18
C0446,P0030,Sports,144.83,2023-02-18
C0421,P0031,Toys,108.15,2023-02-18
C0076,P0032,Sports,691.41,2023-02-18
C0076,P0033,Home,71.57,2023-02-18
C0216,P0034,Toys,396.35,2023-02-18
C0127,P0035,Books,845.1,2023-02-18
C0079,P0036,Toys,683.42,2023-02-19
C0444,P0037,Home,182.68,2023-02-19
C0350,P0038,Toys,419.52,2023-02-19
C0388,P0039,Sports,472.11,2023-02-19
C0431,P0040,Electronics,32.04,2023-02-19
C0161,P0041,Electronics,951.3,2023-02-19
C0205,P0042,Fashion,373.31,2023-02-19
C0343,P0043,Electronics,584.7,2023-02-19
C0325,P0044,Home,576.96,2023-02-19
C0405,P0045,Sports,256.33,2023-02-19
C0392,P0046,Home,574.94,2023-02-19
C0282,P0047,Sports,822.54,2023-02-19
C0392,P0048,Home,287.77,2023-02-19
C0154,P0049,Fashion,821.4,2023-02-19
C0479,P0050,Fashion,102.63,2023-02-19
C0456,P0001,Sports,78.75,2023-02-20
C0110,P0002,Fashion,254.07,2023-02-20
C0433,P0003,Electronics,702.53,2023-02-20
C0396,P0004,Home,586.79,2023-02-20
C0417,P0005,Fashion,381.24,2023-02-20
C0451,P0006,Electronics,79.54,2023-02-20
C0092,P0007,Electronics,715.18,2023-02-20
C0251,P0008,Sports,597.29,2023-02-20
C0472,P0009,Home,544.58,2023-02-20
C0171,P0010,Books,600.66,2023-02-20
C0432,P0011,Fashion,394.57,2023-02-20
C0465,P0012,Fashion,14.3,2023-02-20
C0079,P0013,Toys,174.25,2023-02-20
C0119,P0014,Sports,815.18,2023-02-20
C0267,P0015,Sports,674.51,2023-02-20
C0096,P0016,Home,117.47,2023-02-21
C0464,P0017,Toys,477.25,2023-02-21
C0270,P0018,Electronics,539.72,2023-02-21
C0498,P0019,Sports,443.95,2023-02-21
C0049,P0020,Home,138.57,2023-02-21
C0022,P0021,Home,262.47,2023-02-21
C0363,P0022,Books,378.25,2023-02-21
C0371,P0023,Electronics,218.26,2023-02-21
C0310,P0024,Electronics,132.37,2023-02-21
C0158,P0025,Home,846.33,2023-02-21
C0091,P0026,Books,477.57,2023-02-21
C0213,P0027,Electronics,399.53,2023-02-21
C0421,P0028,Electronics,403.19,2023-02-21
C0170,P0029,Books,800.17,2023-02-21
C0077,P0030,Books,979.94,2023-02-21
C0350,P0031,Toys,672.14,2023-02-22
C0330,P0032,Books,937.79,2023-02-22
C0344,P0033,Fashion,928.64,2023-02-22
C0429,P0034,Books,251.33,2023-02-22
C0320,P0035,Toys,703.85,2023-02-22
C0355,P0036,Sports,161.27,2023-02-22
C0261,P0037,Electronics,703.14,2023-02-22
C0430,P0038,Sports,562.72,2023-02-22
C0358,P0039,Electronics,22.06,2023-02-22
C0392,P0040,Electronics,685.17,2023-02-22
C0127,P0041,Toys,441.61,2023-02-22
C0485,P0042,Sports,460.23,2023-02-22
C0413,P0043,Sports,571.98,2023-02-22
C0123,P0044,Fashion,898.29,2023-02-22
C0026,P0045,Toys,607.25,2023-02-22
C0033,P0046,Sports,341.79,2023-02-23
C0170,P0047,Sports,873.99,2023-02-23
C0054,P0048,Toys,502.42,2023-02-23
C0149,P0049,Home,33.06,2023-02-23
C0121,P0050,Books,640.77,2023-02-23
C0431,P0001,Toys,25.83,2023-02-23
C0348,P0002,Home,900.27,2023-02-23
C0398,P0003,Home,583.52,2023-02-23
C0500,P0004,Electronics,323.56,2023-02-23
C0061,P0005,Books,348.31,2023-02-23
C0245,P0006,Sports,77.44,2023-02-23
C0216,P0007,Books,100.53,2023-02-23
C0243,P0008,Home,753.94,2023-02-23
C0417,P0009,Electronics,633.54,2023-02-23
C0040,P0010,Books,920.91,2023-02-23
C0214,P0011,Books,259.44,2023-02-24
C0126,P0012,Sports,32.18,2023-02-24
C0218,P0013,Books,481.94,2023-02-24
C0124,P0014,Fashion,780.94,2023-02-24
C0294,P0015,Toys,672.98,2023-02-24
C0257,P0016,Books,433.71,2023-02-24
C0140,P0017,Fashion,100.36,2023-02-24
C0476,P0018,Fashion,204.74,2023-02-24
C0475,P0019,Fashion,389.47,2023-02-24
C0187,P0020,Home,923.03,2023-02-24
C0220,P0021,Sports,554.09,2023-02-24
C0430,P0022,Books,348.26,2023-02-24
C0082,P0023,Sports,996.64,2023-02-24
C0491,P0024,Fashion,733.3,2023-02-24
C0430,P0025,Toys,659.75,2023-02-24
C0357,P0026,Books,309.15,2023-02-25
C0044,P0027,Home,956.48,2023-02-25
C0406,P0028,Books,764.05,2023-02-25
C0093,P0029,Toys,865.49,2023-02-25
C0180,P0030,Toys,659.17,2023-02-25
C0239,P0031,Fashion,345.7,2023-02-25
C0240,P0032,Sports,227.17,2023-02-25
C0298,P0033,Home,534.49,2023-02-25
C0409,P0034,Fashion,332.89,2023-02-25
C0447,P0035,Books,159.95,2023-02-25
C0059,P0036,Toys,147.29,2023-02-25
C0493,P0037,Sports,458.28,2023-02-25
C0491,P0038,Electronics,443.12,2023-02-25
C0329,P0039,Home,848.1,2023-02-25
C0026,P0040,Home,587.23,2023-02-25
C0051,P0041,Sports,127.6,2023-02-26
C0393,P0042,Toys,963.32,2023-02-26
C0117,P0043,Sports,83.43,2023-02-26
C0195,P0044,Fashion,652.57,2023-02-26
C0305,P0045,Electronics,872.01,2023-02-26
C0286,P0046,Fashion,274.24,2023-02-26
C0111,P0047,Sports,830.25,2023-02-26
C0004,P0048,Home,544.9,2023-02-26
C0013,P0049,Home,101.88,2023-02-26
C0027,P0050,Sports,272.37,2023-02-26
C0003,P0001,Electronics,232.25,2023-02-26
C0363,P0002,Toys,556.55,2023-02-26
C0163,P0003,Books,511.59,2023-02-26
C0013,P0004,Home,373.67,2023-02-26
C0321,P0005,Home,68.67,2023-02-26
C0283,P0006,Books,804.47,2023-02-27
C0065,P0007,Sports,486.34,2023-02-27
C0052,P0008,Books,232.25,2023-02-27
C0105,P0009,Books,328.15,2023-02-27
C0085,P0010,Home,204.7,2023-02-27
C0337,P0011,Sports,371.39,2023-02-27
C0049,P0012,Books,328.51,2023-02-27
C0151,P0013,Home,234.46,2023-02-27
C0369,P0014,Fashion,144.22,2023-02-27
C0041,P0015,Sports,381.56,2023-02-27
C0448,P0016,Sports,32.01,2023-02-27
C0176,P0017,Electronics,833.97,2023-02-27
C0251,P0018,Fashion,159.25,2023-02-27
C0318,P0019,Electronics,108.39,2023-02-27
C0379,P0020,Electronics,436.96,2023-02-27
C0380,P0021,Toys,300.26,2023-02-28
C0396,P0022,Sports,43.01,2023-02-28
C0426,P0023,Sports,68.68,2023-02-28
C0290,P0024,Electronics,264.1,2023-02-28
C0174,P0025,Books,664.43,2023-02-28
C0124,P0026,Books,620.21,2023-02-28
C0406,P0027,Toys,833.33,2023-02-28
C0238,P0028,Electronics,41.3,2023-02-28
C0435,P0029,Home,204.63,2023-02-28
C0329,P0030,Fashion,761.47,2023-02-28
C0236,P0031,Electronics,262.52,2023-02-28
C0415,P0032,Home,561.09,2023-02-28
C0190,P0033,Books,650.6,2023-02-28
C0195,P0034,Electronics,791.37,2023-02-28
C0244,P0035,Toys,312.7,2023-02-28
C0395,P0036,Sports,305.04,2023-03-01
C0200,P0037,Electronics,153.14,2023-03-01
C0423,P0038,Fashion,812.15,2023-03-01
C0391,P0039,Toys,124.81,2023-03-01
C0152,P0040,Toys,932.44,2023-03-01
C0302,P0041,Books,357.36,2023-03-01
C0009,P0042,Home,522.08,2023-03-01
C0097,P0043,Books,125.59,2023-03-01
C0061,P0044,Sports,940.8,2023-03-01
C0267,P0045,Electronics,887.8,2023-03-01
C0285,P0046,Fashion,750.63,2023-03-01
C0136,P0047,Fashion,471.52,2023-03-01
C0087,P0048,Electronics,664.11,2023-03-01
C0425,P0049,Home,853.75,2023-03-01
C0294,P0050,Home,414.03,2023-03-01
C0378,P0001,Toys,244.17,2023-03-02
C0288,P0002,Home,684.5,2023-03-02
C0116,P0003,Fashion,112.51,2023-03-02
C0383,P0004,Sports,734.89,2023-03-02
C0228,P0005,Sports,84.42,2023-03-02
